日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,6819989.0,469192404.0,68.5,69.4,68.4,68.6,+0.20,3537.0,False,,,,,,
111/03/02,3840758.0,264230337.0,68.5,69.2,68.1,68.9,+0.30,2026.0,False,,,,,,
111/03/03,5519677.0,384492099.0,70.0,70.5,69.3,69.8,+0.90,3114.0,False,,,,,,
111/03/04,4963882.0,345279042.0,69.4,70.0,68.6,69.6,-0.20,5134.0,False,,,,,,
111/03/07,10117555.0,690526062.0,68.5,68.9,67.2,68.5,-1.10,7412.0,False,,,,,,
111/03/08,7114137.0,486659882.0,67.6,68.9,67.6,68.2,-0.30,4619.0,False,,,,,,
111/03/09,4903134.0,341019104.0,68.9,70.2,68.7,69.5,+1.30,2895.0,False,,,,,,
111/03/10,5662765.0,398484933.0,70.1,70.6,69.8,70.6,+1.10,3467.0,False,,,,,,
111/03/11,5288406.0,373435206.0,70.2,70.9,70.1,70.6, 0.00,2633.0,False,0.918918918918916,0.6396396396396387,0.5465465465465462,,,
111/03/14,5540645.0,388869442.0,70.4,70.8,69.9,70.0,-0.60,4505.0,False,0.7567567567567554,0.6786786786786776,0.5905905905905899,,,
111/03/15,7402400.0,514149666.0,70.0,70.1,69.1,69.5,-0.50,3428.0,False,0.6216216216216204,0.6596596596596584,0.6136136136136128,,,
111/03/16,7689106.0,536592022.0,69.6,70.1,69.4,70.1,+0.60,3608.0,False,0.7837837837837809,0.7010343677010326,0.6427538649760861,,,
111/03/17,10554629.0,746540232.0,70.0,71.3,69.9,71.0,+0.90,4559.0,False,0.9268292682926836,0.7762993345649162,0.687269021505696,,,
111/03/18,21705932.0,1436020095.0,68.0,68.0,65.5,65.5,X0.00,11066.0,False,0.0,0.5175328897099439,0.630690310907112,,,
111/03/21,6198797.0,411845186.0,65.7,66.8,65.7,66.6,+1.10,3160.0,False,0.1896551724137922,0.4082403172778934,0.5565403130307058,,,
111/03/22,4034825.0,271065827.0,66.8,67.5,66.6,67.5,+0.90,2296.0,False,0.34482758620689674,0.3871027402542279,0.5000611221052131,,,
111/03/23,4312649.0,291030120.0,67.9,67.9,67.1,67.5, 0.00,2500.0,False,0.34482758620689674,0.3730110222384509,0.4577110888162924,,,
111/03/24,3164348.0,214033856.0,67.3,68.0,67.3,67.5, 0.00,2507.0,False,0.34482758620689674,0.36361654356126616,0.4263462403979503,,,
111/03/25,3057133.0,206578370.0,67.2,67.9,67.1,67.8,+0.30,1609.0,False,0.3965517241379307,0.37459493708682107,0.4090958059609072,,,
111/03/28,3467325.0,234884742.0,67.3,68.5,67.0,68.3,+0.50,2059.0,False,0.4827586206896549,0.4106494982877657,0.4096137034031933,,,
