日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,7010040.0,374311201.0,53.0,53.8,52.7,53.4,+1.10,3649.0,False,,,,,,
111/03/02,6120795.0,326197323.0,52.6,53.9,52.6,53.7,+0.30,3276.0,False,,,,,,
111/03/03,5540804.0,298156084.0,54.0,54.5,53.3,53.8,+0.10,3137.0,False,,,,,,
111/03/04,5498077.0,290265764.0,53.3,53.5,52.4,52.4,-1.40,3324.0,False,,,,,,
111/03/07,11661881.0,587105933.0,51.7,51.7,49.55,50.4,-2.00,6122.0,False,,,,,,
111/03/08,11709549.0,585623940.0,50.0,51.5,48.8,49.1,-1.30,5976.0,False,,,,,,
111/03/09,7862579.0,389327187.0,50.0,50.2,48.85,49.6,+0.50,5047.0,False,,,,,,
111/03/10,11385733.0,573525189.0,50.7,50.9,49.85,50.5,+0.90,5293.0,False,,,,,,
111/03/11,6258545.0,310255265.0,50.2,50.3,49.15,49.6,-0.90,3661.0,False,0.14035087719298314,0.3801169590643277,0.4600389863547759,,,
111/03/14,7269928.0,364036378.0,49.6,50.8,49.45,50.0,+0.40,3859.0,False,0.2105263157894741,0.3235867446393764,0.414554905782976,,,
111/03/15,9034533.0,438477885.0,50.2,50.2,47.8,47.8,-2.20,5493.0,False,0.0,0.2157244964262509,0.3482781026640677,,,
111/03/16,8173586.0,397625133.0,48.65,49.7,47.8,48.35,+0.55,4627.0,False,0.09649122807017614,0.1759800736408927,0.29084542632300936,,,
111/03/17,10678691.0,535031021.0,49.5,50.9,49.2,50.5,+2.15,5661.0,False,0.6923076923076921,0.34808927986315913,0.3099267108363926,,,
111/03/18,7105535.0,361159801.0,50.3,51.6,49.75,51.6,+1.10,4043.0,False,1.0,0.5653928532421061,0.3950820916382971,,,
111/03/21,6246718.0,320921533.0,51.9,52.2,50.9,51.1,-0.50,3581.0,False,0.75,0.6269285688280707,0.4723642507015549,,,
111/03/22,3235157.0,164822585.0,50.8,51.5,50.5,51.1, 0.00,2129.0,False,0.75,0.6679523792187138,0.5375602935406079,,,
111/03/23,19020511.0,1000444287.0,51.6,53.8,51.3,52.4,+1.30,9857.0,False,0.7666666666666669,0.7008571417013648,0.5919925762608601,,,
111/03/24,10587851.0,540907316.0,52.0,52.0,50.5,51.1,-1.30,6574.0,False,0.5500000000000007,0.65057142780091,0.6115188601075434,,,
111/03/25,10362482.0,539764379.0,51.4,52.8,51.2,52.4,+1.30,6433.0,False,0.7666666666666669,0.6892698407561624,0.637435853657083,,,
