日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,139482.0,4383936.0,31.2,31.7,30.65,31.6,0.85,135.0,False,,,,,,
111/03/02,222242.0,7132898.0,31.5,32.9,30.95,32.6,1.0,169.0,False,,,,,,
111/03/03,173413.0,5617475.0,32.15,33.1,31.9,32.0,-0.6,146.0,False,,,,,,
111/03/04,122800.0,3884949.0,31.0,32.0,31.0,31.45,-0.55,107.0,False,,,,,,
111/03/07,398695.0,12752463.0,32.9,32.9,31.6,31.65,0.2,312.0,False,,,,,,
111/03/08,489436.0,14702941.0,31.45,31.45,29.55,29.65,-2.0,409.0,False,,,,,,
111/03/09,97202.0,2938383.0,30.6,30.6,29.9,30.15,0.5,100.0,False,,,,,,
111/03/10,221741.0,7002279.0,30.8,32.05,30.8,31.8,1.65,188.0,False,,,,,,
111/03/11,176234.0,5580409.0,31.8,31.95,31.3,31.95,0.15,126.0,False,0.6760563380281684,0.5586854460093895,0.5195618153364632,,,
111/03/14,106711.0,3376883.0,32.3,32.3,31.2,31.3,-0.65,102.0,False,0.4929577464788731,0.5367762128325507,0.525299947835159,,,
111/03/15,132606.0,4033477.0,31.3,31.6,30.1,30.3,-1.0,126.0,False,0.2112676056338028,0.42827334376630144,0.4929577464788731,,,
111/03/16,173945.0,5235174.0,30.4,30.5,29.8,30.0,-0.3,127.0,False,0.13432835820895508,0.33029168191385266,0.4387357249571996,,,
111/03/17,192088.0,6009056.0,31.0,32.6,30.5,31.5,1.5,173.0,False,0.5820895522388061,0.4142243053555038,0.4305652517566343,,,
111/03/18,78817.0,2469950.0,31.5,31.6,31.1,31.6,0.1,84.0,False,0.6721311475409837,0.5001932527506637,0.4537745854213108,,,
111/03/21,214279.0,6914063.0,31.55,33.1,31.5,32.8,1.2,158.0,False,0.9090909090909078,0.6364924715307451,0.5146805474577889,,,
111/03/22,110378.0,3548384.0,31.7,32.5,31.7,32.2,-0.6,96.0,False,0.7272727272727277,0.6667525567780725,0.5653712172312167,,,
111/03/23,146240.0,4780024.0,33.0,33.0,32.3,32.8,0.6,126.0,False,0.9090909090909078,0.7475320075490176,0.6260914806704837,,,
111/03/24,244230.0,8163503.0,32.8,34.2,32.3,33.7,0.9,222.0,False,0.8863636363636365,0.7938092171538905,0.6819973928316192,,,
111/03/25,189721.0,6346911.0,34.4,34.4,33.05,33.35,-0.35,154.0,False,0.7717391304347831,0.7864525215808547,0.7168157690813644,,,
111/03/28,170061.0,5471381.0,33.0,33.0,32.0,32.0,-1.35,138.0,False,0.4782608695652175,0.6837219709089756,0.7057845030239014,,,
111/03/29,74255.0,2373462.0,32.05,32.45,31.8,31.9,-0.1,76.0,False,0.35897435897435875,0.5754727669307701,0.6623472576595242,,,
111/03/30,254505.0,8472545.0,32.0,34.2,32.0,33.15,1.25,205.0,False,0.6212121212121209,0.5907192183578869,0.6384712445589784,,,
111/03/31,115409.0,3745929.0,33.15,33.15,32.1,32.2,-0.95,109.0,False,0.2413793103448287,0.4742725823535341,0.5837383571571636,,,
111/04/01,127198.0,4061243.0,31.8,32.8,31.6,32.1,-0.1,110.0,False,0.17857142857142874,0.3757055310928323,0.5143940818023864,,,
111/04/06,227046.0,7098499.0,31.85,31.85,31.0,31.05,-1.05,170.0,False,0.014705882352941391,0.255372314846202,0.4280534928169916,,,
