日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,32392604.0,7465048896.0,229.0,239.0,222.5,224.5,-2.50,22674.0,False,,,,,,
111/03/02,15298475.0,3378947054.0,225.5,227.0,216.0,222.5,-2.00,11324.0,False,,,,,,
111/03/03,10371490.0,2290795811.0,226.0,227.0,217.0,217.0,-5.50,7425.0,False,,,,,,
111/03/04,9877617.0,2157165637.0,213.0,222.0,213.0,217.5,+0.50,6387.0,False,,,,,,
111/03/07,13683453.0,2773871795.0,213.5,215.0,197.0,197.0,-20.50,10966.0,False,,,,,,
111/03/08,15499865.0,2970736849.0,188.0,199.5,185.5,185.5,-11.50,15124.0,False,,,,,,
111/03/09,12638875.0,2367405509.0,191.0,193.0,184.0,186.0,+0.50,13579.0,False,,,,,,
111/03/10,10071075.0,1964464492.0,194.0,197.0,192.0,197.0,+11.00,10784.0,False,,,,,,
111/03/11,6665091.0,1276248767.0,195.5,195.5,189.0,193.0,-4.00,9733.0,False,0.16363636363636366,0.3878787878787879,0.4626262626262626,,,
111/03/14,9801385.0,1847479246.0,194.0,196.5,185.5,188.0,-5.00,6997.0,False,0.09302325581395347,0.2895936105238431,0.4049487119254561,,,
111/03/15,15530529.0,2743910937.0,186.0,186.5,172.0,172.0,-16.00,15149.0,False,0.0,0.1930624070158954,0.33431994362226913,,,
111/03/16,12951782.0,2243536332.0,177.5,177.5,170.0,172.5,+0.50,8103.0,False,0.04807692307692308,0.14473391236957128,0.27112459987136983,,,
111/03/17,23117854.0,4217337429.0,182.0,189.5,176.5,186.5,+14.00,16285.0,False,0.3666666666666665,0.21871149713526966,0.2536535656260031,,,
111/03/18,12523703.0,2310952199.0,182.0,188.0,180.0,188.0,+1.50,12675.0,False,0.6101694915254238,0.3491974952653211,0.2855015421724424,,,
111/03/21,14044426.0,2700095386.0,190.5,196.0,188.0,192.0,+4.00,14437.0,False,0.8148148148148148,0.5044032684484856,0.3584687842644568,,,
111/03/22,9118570.0,1752250281.0,192.0,195.0,189.0,193.5,+1.50,12961.0,False,0.8703703703703703,0.6263923024224471,0.4477766236504536,,,
111/03/23,13900834.0,2790765769.0,199.5,203.5,198.5,199.5,+6.00,14394.0,False,0.8805970149253731,0.7111272065900891,0.5355601512969987,,,
111/03/24,6517121.0,1310962065.0,199.0,203.0,197.0,202.0,+2.50,10138.0,False,0.9552238805970148,0.7924927645923977,0.6212043557287983,,,
111/03/25,12116641.0,2471694052.0,206.0,209.0,201.5,203.0,+1.00,16077.0,False,0.8461538461538461,0.8103797917795471,0.6842628344123811,,,
111/03/28,5555547.0,1103493954.0,198.0,201.0,196.0,201.0,-2.00,11220.0,False,0.7948717948717948,0.8052104594769629,0.7245787094339083,,,
111/03/29,15556529.0,3041196777.0,200.5,202.0,190.0,193.5,-7.50,17922.0,False,0.5230769230769231,0.7111659473436163,0.7201077887371443,,,
111/03/30,12325501.0,2443315202.0,195.5,200.0,195.5,198.0,+4.50,9713.0,False,0.6206896551724138,0.6810071832865487,0.7070742535869458,,,
111/03/31,7615653.0,1478990637.0,198.0,199.0,192.0,194.5,-3.50,14750.0,False,0.30952380952380953,0.5571793920323023,0.6571092997353979,,,
111/04/01,15292425.0,3043223539.0,190.0,203.0,189.0,202.5,+8.00,10474.0,False,0.675,0.5964529280215348,0.6368905091641102,,,
111/04/06,12123245.0,2439162753.0,197.5,205.0,196.0,205.0,+2.50,9550.0,False,0.8,0.6643019520143565,0.6460276567808589,,,
111/04/07,21424520.0,4251576405.0,200.0,205.0,192.5,192.5,-12.50,32371.0,False,0.175,0.5012013013429043,0.5977522049682074,,,
111/04/08,8849934.0,1717457323.0,195.5,197.5,191.5,192.0,-0.50,16003.0,False,0.15,0.3841342008952695,0.5265462036105614,,,
111/04/11,12639468.0,2332133238.0,192.0,192.0,180.5,182.5,-9.50,16828.0,False,0.08163265306122447,0.2833003516172545,0.4454642529461257,,,
111/04/12,11168016.0,2071225375.0,183.5,190.0,180.5,185.5,+3.00,7508.0,False,0.20408163265306128,0.2568941119625234,0.3826075392849249,,,
111/04/13,11443495.0,2108668814.0,188.0,188.0,180.5,187.0,+1.50,9979.0,False,0.2653061224489796,0.25969811545800875,0.3416377313426195,,,
111/04/14,11277741.0,2140711496.0,191.0,194.5,187.0,189.5,+2.50,9503.0,False,0.3673469387755102,0.2955810565638426,0.3262855064163605,,,
111/04/15,7369474.0,1345869235.0,185.0,188.0,180.5,181.0,-8.50,7395.0,False,0.020408163265306117,0.2038567587976637,0.2854759238767949,,,
111/04/18,7665900.0,1390273512.0,175.0,184.5,174.5,184.0,+3.00,5041.0,False,0.3114754098360656,0.23972964247713105,0.2702271634102402,,,
111/04/19,8983026.0,1694686420.0,187.5,191.0,186.0,188.5,+4.50,5645.0,False,0.459016393442623,0.31282522613229496,0.28442651765092514,,,
111/04/20,9288229.0,1786475783.0,192.0,194.5,190.0,192.5,+4.00,10419.0,False,0.7826086956521741,0.4694197159722546,0.3460909170913683,,,
111/04/21,7200045.0,1406219500.0,195.5,197.0,192.5,197.0,+4.50,5970.0,False,1.0,0.6462798106481698,0.4461538816103021,,,
111/04/22,10257961.0,1920789233.0,193.0,193.0,183.5,184.0,-13.00,25820.0,False,0.4222222222222222,0.5715939478395206,0.4879672370200416,,,
111/04/25,11535382.0,2036043853.0,177.0,181.0,173.0,178.0,-6.00,7259.0,False,0.2083333333333333,0.4505070763374581,0.4754805167925137,,,
111/04/26,19579363.0,3412819973.0,184.5,184.5,168.5,168.5,-9.50,13323.0,False,0.0,0.30033805089163873,0.4170996948255553,,,
111/04/27,34511233.0,5664582399.0,158.0,171.0,157.0,167.5,-1.00,20139.0,False,0.2625,0.28772536726109244,0.3739749189707343,,,
111/04/28,22689307.0,3657604834.0,165.0,165.5,158.0,160.5,-7.00,12689.0,False,0.0875,0.2209835781740616,0.3229778053718434,,,
111/04/29,24372504.0,4116792950.0,165.5,174.0,164.5,171.5,+11.00,14117.0,False,0.3625,0.2681557187827077,0.3047037765087981,,,
