,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,399.0,2301,光寶科,4245,4838,250.0,315.0,,,,,,,,,,,False
2022-12-12,,2301,光寶科,4881,4845,362.0,460.0,17.0,53.0,,587716.0,22.0,120.0,,587716.0,, ,False
2022-12-13,,2301,光寶科,4745,4772,483.0,451.0,56.0,29.0,,587716.0,43.0,11.0,,587716.0,, ,False
2022-12-14,,2301,光寶科,4772,4627,451.0,514.0,12.0,157.0,,587716.0,6.0,69.0,,587716.0,, ,False
2022-12-15,,2301,光寶科,4627,4591,514.0,510.0,52.0,88.0,,587716.0,8.0,4.0,,587716.0,, ,False
2022-12-18,,2301,光寶科,4591,4566,510.0,455.0,21.0,46.0,,587716.0,64.0,9.0,,587716.0,2.0, ,False
2022-12-19,,2301,光寶科,4566,4568,455.0,379.0,76.0,74.0,,587716.0,78.0,2.0,,587716.0,, ,False
2022-12-20,,2301,光寶科,4568,4641,379.0,390.0,119.0,46.0,,587716.0,15.0,26.0,,587716.0,, ,False
2022-12-21,,2301,光寶科,4641,4591,390.0,399.0,28.0,78.0,,587716.0,3.0,12.0,,587716.0,, ,False
2022-12-23,,2301,光寶科,4515,4532,382.0,219.0,25.0,8.0,,587716.0,,1.0,164.0,587716.0,, ,False
2022-12-26,,2301,光寶科,4532,4510,219.0,208.0,6.0,28.0,,587716.0,11.0,,,587716.0,, ,False
2022-12-27,,2301,光寶科,4510,4506,208.0,209.0,3.0,6.0,1.0,590770.0,1.0,2.0,,590770.0,, ,False
2022-12-28,,2301,光寶科,4506,4495,209.0,228.0,13.0,23.0,1.0,590770.0,2.0,21.0,,590770.0,, ,False
2022-12-29,,2301,光寶科,4495,4478,228.0,199.0,12.0,29.0,,590770.0,30.0,1.0,,590770.0,, ,False
2022-12-30,,2301,光寶科,4478,4446,199.0,201.0,4.0,36.0,,590770.0,2.0,4.0,,590770.0,, ,False
2023-01-03,,2301,光寶科,4446,4426,201.0,200.0,10.0,30.0,,590770.0,1.0,,,590770.0,, ,
2023-01-04,,2301,光寶科,4426,4444,200.0,188.0,54.0,36.0,,590770.0,12.0,,,590770.0,, ,
2023-01-05,,2301,光寶科,4444,4416,188.0,187.0,68.0,96.0,,590770.0,2.0,1.0,,590770.0,, ,
2023-01-06,,2301,光寶科,4416,4414,187.0,186.0,17.0,19.0,,590770.0,1.0,,,590770.0,, ,
2023-01-10,,2301,光寶科,4351,3874,152.0,152.0,11.0,488.0,,590770.0,2.0,2.0,,590770.0,, ,
2023-01-11,,2301,光寶科,3874,4287,152.0,150.0,418.0,5.0,,590770.0,2.0,,,590770.0,, ,
2023-01-12,,2301,光寶科,4287,2947,150.0,149.0,21.0,1361.0,,590770.0,1.0,,,590770.0,, ,
2023-01-14,,2301,光寶科,2947,2241,149.0,149.0,19.0,725.0,,590770.0,,,,590770.0,, ,
2023-01-16,,2301,光寶科,2241,2274,149.0,149.0,48.0,15.0,,590770.0,,,,590770.0,, ,
2023-01-18,,2301,光寶科,2274,2281,149.0,89.0,38.0,31.0,,590770.0,,,60.0,590770.0,, ,
2023-02-01,,2301,光寶科,2146,2166,90.0,87.0,22.0,1.0,1.0,590770.0,3.0,,,590770.0,, ,
2023-02-02,,2301,光寶科,2146,2166,90.0,87.0,22.0,1.0,1.0,590770.0,3.0,,,590770.0,, ,
2023-02-03,,2301,光寶科,2158,2039,81.0,82.0,6.0,125.0,,590770.0,,1.0,,590770.0,, ,
2023-02-04,,2301,光寶科,2158,2039,81.0,82.0,6.0,125.0,,590770.0,,1.0,,590770.0,, ,
2023-02-06,,2301,光寶科,2039,2010,82.0,82.0,36.0,65.0,,590770.0,,,,590770.0,, ,
2023-02-07,,2301,光寶科,2010,2021,82.0,82.0,46.0,35.0,,590770.0,,,,590770.0,, ,
2023-02-08,,2301,光寶科,2021,1895,82.0,93.0,27.0,153.0,,590770.0,,11.0,,590770.0,, ,
2023-02-09,,2301,光寶科,1895,1862,93.0,100.0,20.0,53.0,,590770.0,1.0,8.0,,590770.0,, ,
2023-02-10,,2301,光寶科,1862,1951,100.0,95.0,128.0,39.0,,590770.0,5.0,,,590770.0,, ,
2023-02-11,,2301,光寶科,1862,1951,100.0,95.0,128.0,39.0,,590770.0,5.0,,,590770.0,, ,
2023-02-13,,2301,光寶科,1951,1950,95.0,97.0,18.0,19.0,,590770.0,,2.0,,590770.0,, ,
2023-02-14,,2301,光寶科,1950,1943,97.0,97.0,4.0,9.0,2.0,590770.0,1.0,1.0,,590770.0,, ,
2023-02-15,,2301,光寶科,1943,1411,97.0,100.0,23.0,555.0,,590770.0,,3.0,,590770.0,, ,
2023-02-16,,2301,光寶科,1411,1471,99.0,80.0,81.0,21.0,,590770.0,21.0,2.0,,590770.0,, ,
2023-02-17,,2301,光寶科,1471,1822,81.0,84.0,375.0,24.0,,590770.0,,3.0,,590770.0,, ,
2023-02-18,,2301,光寶科,1471,1822,81.0,84.0,375.0,24.0,,590770.0,,3.0,,590770.0,, ,
2023-02-20,,2301,光寶科,1822,1826,84.0,83.0,78.0,73.0,1.0,590770.0,1.0,,,590770.0,, ,
2023-02-21,,2301,光寶科,1826,1961,83.0,73.0,149.0,14.0,,590770.0,15.0,5.0,,590770.0,, ,
2023-02-22,,2301,光寶科,1961,1897,73.0,93.0,40.0,104.0,,590770.0,9.0,29.0,,590770.0,, ,
2023-02-23,,2301,光寶科,1897,1896,93.0,82.0,11.0,10.0,2.0,590770.0,11.0,,,590770.0,, ,
2023-02-24,,2301,光寶科,1896,1874,82.0,72.0,19.0,39.0,2.0,590770.0,,,10.0,590770.0,, ,
2023-02-25,,2301,光寶科,1896,1874,82.0,72.0,19.0,39.0,2.0,590770.0,,,10.0,590770.0,, ,
2023-02-27,,2301,光寶科,1896,1874,82.0,72.0,19.0,39.0,2.0,590770.0,,,10.0,590770.0,, ,
2023-02-28,,2301,光寶科,1896,1874,82.0,72.0,19.0,39.0,2.0,590770.0,,,10.0,590770.0,, ,
2023-03-01,,2301,光寶科,1874,1865,72.0,51.0,18.0,27.0,,590770.0,21.0,,,590770.0,, ,
2023-03-02,,2301,光寶科,1865,1914,51.0,49.0,147.0,98.0,,590770.0,4.0,2.0,,590770.0,, ,
2023-03-03,,2301,光寶科,1914,1865,49.0,48.0,78.0,127.0,,590770.0,2.0,1.0,,590770.0,1.0, ,
2023-03-04,,2301,光寶科,1914,1865,49.0,48.0,78.0,127.0,,590770.0,2.0,1.0,,590770.0,1.0, ,
2023-03-06,,2301,光寶科,1865,1876,48.0,52.0,73.0,62.0,,590770.0,2.0,6.0,,590770.0,3.0, ,
2023-03-07,,2301,光寶科,1876,1906,52.0,52.0,106.0,76.0,,590770.0,3.0,3.0,,590770.0,, ,
2023-03-08,,2301,光寶科,1906,1906,52.0,50.0,36.0,36.0,,590770.0,3.0,1.0,,590770.0,, ,
2023-03-09,,2301,光寶科,1906,1893,50.0,40.0,32.0,45.0,,590770.0,10.0,,,590770.0,,X ,
2023-03-10,,2301,光寶科,1893,1696,40.0,2.0,27.0,224.0,,590770.0,38.0,,,590770.0,,X ,
2023-03-11,,2301,光寶科,1893,1696,40.0,2.0,27.0,224.0,,590770.0,38.0,,,590770.0,,X ,
2023-03-13,,2301,光寶科,1696,1768,2.0,,100.0,28.0,,590770.0,,,2.0,590770.0,,X ,
2023-03-14,,2301,光寶科,1768,1589,,,50.0,229.0,,590770.0,,,,590770.0,,X ,
2023-03-15,,2301,光寶科,1589,1475,,,77.0,191.0,,590770.0,,,,590770.0,, ,
2023-03-16,,2301,光寶科,1475,1427,,19.0,36.0,84.0,,590770.0,,19.0,,590770.0,8.0, ,
2023-03-17,,2301,光寶科,1427,1447,19.0,17.0,36.0,16.0,,590770.0,6.0,4.0,,590770.0,3.0, ,
2023-03-18,,2301,光寶科,1427,1447,19.0,17.0,36.0,16.0,,590770.0,6.0,4.0,,590770.0,3.0, ,
2023-03-20,,2301,光寶科,1447,1447,17.0,19.0,18.0,18.0,,590770.0,1.0,3.0,,590770.0,, ,
2023-03-21,,2301,光寶科,1447,1461,19.0,19.0,38.0,24.0,,590770.0,1.0,1.0,,590770.0,, ,
2023-03-22,,2301,光寶科,1461,1780,19.0,18.0,359.0,40.0,,590770.0,2.0,1.0,,590770.0,, ,
2023-03-23,,2301,光寶科,1780,1754,18.0,18.0,21.0,47.0,,590770.0,,,,590770.0,, ,
2023-03-24,,2301,光寶科,1754,1797,18.0,21.0,76.0,33.0,,590770.0,1.0,4.0,,590770.0,, ,
2023-03-25,,2301,光寶科,1754,1797,18.0,21.0,76.0,33.0,,590770.0,1.0,4.0,,590770.0,, ,
2023-03-27,,2301,光寶科,1797,2856,21.0,32.0,1140.0,81.0,,590770.0,,11.0,,590770.0,, ,
2023-03-28,,2301,光寶科,2856,2853,32.0,34.0,22.0,25.0,,590770.0,,2.0,,590770.0,, ,
2023-03-29,,2301,光寶科,2853,2796,34.0,34.0,40.0,97.0,,590523.0,1.0,1.0,,590523.0,4.0, ,
2023-03-30,,2301,光寶科,2796,2813,34.0,40.0,50.0,33.0,,590523.0,,6.0,,590523.0,, ,
2023-03-31,,2301,光寶科,2813,2838,40.0,41.0,48.0,23.0,,590523.0,,1.0,,590523.0,, ,
2023-04-01,,2301,光寶科,2813,2838,40.0,41.0,48.0,23.0,,590523.0,,1.0,,590523.0,, ,
2023-04-03,,2301,光寶科,2813,2838,40.0,41.0,48.0,23.0,,590523.0,,1.0,,590523.0,, ,
2023-04-04,,2301,光寶科,2813,2838,40.0,41.0,48.0,23.0,,590523.0,,1.0,,590523.0,, ,
2023-04-05,,2301,光寶科,2813,2838,40.0,41.0,48.0,23.0,,590523.0,,1.0,,590523.0,, ,
2023-04-06,,2301,光寶科,2838,3133,41.0,48.0,343.0,48.0,,590523.0,,7.0,,590523.0,, ,
2023-04-07,,2301,光寶科,3133,3225,48.0,50.0,122.0,28.0,2.0,590523.0,,2.0,,590523.0,, ,
2023-04-08,,2301,光寶科,3133,3225,48.0,50.0,122.0,28.0,2.0,590523.0,,2.0,,590523.0,, ,
2023-04-10,,2301,光寶科,3225,3243,50.0,53.0,50.0,32.0,,590523.0,,3.0,,590523.0,, ,
2023-04-11,,2301,光寶科,3243,3036,53.0,57.0,19.0,226.0,,590523.0,,4.0,,590523.0,, ,
2023-04-12,,2301,光寶科,3036,2958,57.0,65.0,45.0,122.0,1.0,590523.0,,8.0,,590523.0,, ,
2023-04-13,,2301,光寶科,2958,2914,65.0,74.0,32.0,76.0,,590523.0,,9.0,,590523.0,, ,
2023-04-14,,2301,光寶科,2914,3080,74.0,97.0,265.0,99.0,,590523.0,1.0,24.0,,590523.0,, ,
2023-04-15,,2301,光寶科,2914,3080,74.0,97.0,265.0,99.0,,590523.0,1.0,24.0,,590523.0,, ,
2023-04-17,,2301,光寶科,3080,2923,97.0,90.0,179.0,336.0,,590523.0,7.0,,,590523.0,, ,
2023-04-18,,2301,光寶科,2923,2951,90.0,63.0,94.0,66.0,,590523.0,29.0,2.0,,590523.0,2.0, ,
2023-04-19,,2301,光寶科,2951,2941,63.0,57.0,52.0,62.0,,590523.0,6.0,,,590523.0,, ,
2023-04-20,,2301,光寶科,2941,2946,57.0,54.0,30.0,25.0,,590523.0,3.0,,,590523.0,, ,
2023-04-21,,2301,光寶科,2946,2946,54.0,55.0,105.0,105.0,,590523.0,,1.0,,590523.0,4.0, ,
2023-04-22,,2301,光寶科,2946,2946,54.0,55.0,105.0,105.0,,590523.0,,1.0,,590523.0,4.0, ,
2023-04-24,,2301,光寶科,2946,2781,55.0,54.0,40.0,205.0,,590523.0,2.0,1.0,,590523.0,, ,
2023-04-25,,2301,光寶科,2781,1617,54.0,52.0,88.0,1248.0,4.0,590523.0,5.0,3.0,,590523.0,, ,
2023-04-26,,2301,光寶科,1617,1587,52.0,53.0,20.0,49.0,1.0,590523.0,,1.0,,590523.0,, ,
2023-04-27,,2301,光寶科,1587,1602,53.0,46.0,106.0,91.0,,590523.0,8.0,1.0,,590523.0,, ,
2023-04-28,,2301,光寶科,1602,1428,46.0,45.0,173.0,347.0,,590523.0,1.0,,,590523.0,, ,
2023-04-29,,2301,光寶科,1602,1428,46.0,45.0,173.0,347.0,,590523.0,1.0,,,590523.0,, ,
2023-05-01,,2301,光寶科,1602,1428,46.0,45.0,173.0,347.0,,590523.0,1.0,,,590523.0,, ,
2023-05-02,,2301,光寶科,1428,1384,45.0,61.0,207.0,251.0,,590523.0,,16.0,,590523.0,, ,
2023-05-03,,2301,光寶科,1384,1380,61.0,66.0,26.0,30.0,,590523.0,11.0,16.0,,590523.0,1.0, ,
2023-05-04,,2301,光寶科,1380,1387,66.0,69.0,46.0,39.0,,590523.0,8.0,11.0,,590523.0,, ,
2023-05-05,,2301,光寶科,1387,1355,69.0,62.0,28.0,60.0,,590523.0,7.0,,,590523.0,, ,
2023-05-06,,2301,光寶科,1387,1355,69.0,62.0,28.0,60.0,,590523.0,7.0,,,590523.0,, ,
2023-05-08,,2301,光寶科,1355,1356,62.0,79.0,40.0,39.0,,590523.0,,17.0,,590523.0,, ,
2023-05-09,,2301,光寶科,1356,1241,79.0,77.0,17.0,132.0,,590523.0,4.0,2.0,,590523.0,5.0, ,
2023-05-10,,2301,光寶科,1241,1087,77.0,78.0,16.0,170.0,,590523.0,2.0,3.0,,590523.0,, ,
2023-05-11,,2301,光寶科,1087,1062,78.0,85.0,18.0,42.0,1.0,590523.0,,7.0,,590523.0,, ,
2023-05-12,,2301,光寶科,1062,1129,85.0,82.0,92.0,25.0,,590523.0,7.0,4.0,,590523.0,, ,
2023-05-13,,2301,光寶科,1062,1129,85.0,82.0,92.0,25.0,,590523.0,7.0,4.0,,590523.0,, ,
2023-05-15,,2301,光寶科,1129,1051,82.0,82.0,46.0,124.0,,590523.0,4.0,4.0,,590523.0,, ,
2023-05-16,,2301,光寶科,1051,1945,82.0,108.0,998.0,104.0,,590523.0,1.0,27.0,,590523.0,2.0, ,
2023-05-17,,2301,光寶科,1945,1838,108.0,147.0,103.0,210.0,,590523.0,1.0,40.0,,590523.0,3.0, ,
2023-05-18,,2301,光寶科,1838,1826,147.0,144.0,35.0,46.0,1.0,590523.0,14.0,11.0,,590523.0,1.0, ,
2023-05-19,,2301,光寶科,1826,1798,144.0,154.0,20.0,48.0,,590523.0,3.0,13.0,,590523.0,, ,
2023-05-20,,2301,光寶科,1826,1798,144.0,154.0,20.0,48.0,,590523.0,3.0,13.0,,590523.0,, ,
2023-05-22,,2301,光寶科,1798,2002,154.0,134.0,249.0,45.0,,590523.0,21.0,1.0,,590523.0,, ,
2023-05-23,,2301,光寶科,2002,2113,134.0,117.0,220.0,109.0,,590523.0,20.0,3.0,,590523.0,, ,
2023-05-24,,2301,光寶科,2113,2130,117.0,112.0,59.0,42.0,,590523.0,5.0,,,590523.0,, ,
2023-05-25,,2301,光寶科,2130,2174,112.0,118.0,85.0,41.0,,590523.0,4.0,10.0,,590523.0,, ,
2023-05-26,,2301,光寶科,2174,3711,118.0,137.0,1677.0,140.0,,590523.0,1.0,20.0,,590523.0,8.0, ,
2023-05-27,,2301,光寶科,2174,3711,118.0,137.0,1677.0,140.0,,590523.0,1.0,20.0,,590523.0,8.0, ,
2023-05-29,,2301,光寶科,3711,4018,137.0,160.0,1077.0,770.0,,590523.0,2.0,25.0,,590523.0,30.0, ,
2023-05-30,,2301,光寶科,4018,4225,160.0,180.0,798.0,591.0,,590523.0,1.0,21.0,,590523.0,1.0, ,
2023-05-31,,2301,光寶科,4225,4380,180.0,849.0,1029.0,874.0,,590523.0,2.0,671.0,,590523.0,5.0, ,
2023-06-01,,2301,光寶科,4380,4875,849.0,274.0,687.0,192.0,,590523.0,594.0,19.0,,590523.0,2.0, ,
2023-06-02,,2301,光寶科,4875,6346,274.0,312.0,2520.0,1049.0,,590523.0,5.0,43.0,,590523.0,7.0, ,
