日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/12/01,4809978.0,220187268.0,47.05,47.65,44.55,45.15,-1.85,3682.0,False,,,,,,
111/12/02,4652995.0,214120814.0,45.3,46.9,44.85,46.15,1.0,2908.0,False,,,,,,
111/12/05,30553835.0,1360655719.0,46.55,46.9,41.55,41.55,-4.6,6863.0,False,,,,,,
111/12/06,17157970.0,670022855.0,40.05,41.2,38.0,39.15,-2.4,7888.0,False,,,,,,
111/12/07,6668478.0,256320425.0,39.3,39.3,38.05,38.4,-0.75,3520.0,False,,,,,,
111/12/08,13196000.0,527261350.0,38.05,41.35,38.0,40.15,1.75,6701.0,False,,,,,,
111/12/09,12967946.0,518893308.0,39.9,40.85,39.2,39.25,-0.9,5690.0,False,,,,,,
111/12/12,6363686.0,247935105.0,38.7,39.8,38.1,39.0,-0.25,2913.0,False,,,,,,
111/12/13,3351247.0,130530988.0,39.0,39.5,38.5,38.55,-0.45,1637.0,False,0.056994818652849465,0.35233160621761644,0.4507772020725388,,,
111/12/14,4126605.0,160056983.0,38.45,39.05,38.4,38.9,0.35,1824.0,False,0.10112359550561784,0.26859560264695026,0.3900500022640093,,,
111/12/15,4057000.0,157920900.0,39.05,39.4,38.2,38.2,-0.7,1937.0,False,0.02247191011235988,0.1865543718020868,0.3222181254433684,,,
111/12/16,3990000.0,147868100.0,37.85,38.0,36.5,36.5,-1.7,2016.0,False,0.0,0.1243695812013912,0.2562686106960427,,,
111/12/19,7677175.0,267832795.0,36.45,36.45,34.0,34.0,-2.5,3526.0,False,0.0,0.08291305413426077,0.1984834251754487,,,
111/12/20,7194306.0,240857531.0,34.0,34.05,32.9,33.45,-0.55,2819.0,False,0.06508875739645019,0.0769716218883239,0.15797949074640708,,,
111/12/21,6647000.0,216604850.0,32.95,33.25,32.1,32.8,-0.65,2322.0,False,0.07999999999999953,0.07798108125888244,0.13131335425056553,,,
111/12/22,4095545.0,132639173.0,32.75,32.75,32.2,32.2,-0.6,2581.0,False,0.01298701298701318,0.05631639183492601,0.10631436677868568,,,
111/12/25,3578231.0,116105678.0,32.05,32.75,32.0,32.6,0.4,1883.0,False,0.0800000000000002,0.06421092788995074,0.09227988714910736,,,
111/12/26,2224260.0,72027661.0,32.55,32.8,32.1,32.1,-0.5,1370.0,False,0.013513513513513709,0.04731178976447173,0.07729052135422881,,,
111/12/27,2866770.0,91953549.0,32.15,32.4,31.75,32.25,0.15,1584.0,False,0.06535947712418302,0.05332768555104216,0.06930290941983325,,,
111/12/28,4171000.0,136399000.0,32.4,32.95,32.3,32.55,0.3,1623.0,False,0.12799999999999956,0.07821845703402795,0.07227475862456481,,,
111/12/29,2182776.0,70503542.0,32.6,32.8,32.05,32.15,-0.4,1146.0,False,0.08510638297872307,0.08051443234892633,0.07502131653268533,,,
111/12/30,1861782.0,60175838.0,32.3,32.65,32.0,32.55,0.4,1015.0,False,0.3478260869565209,0.16961831721812454,0.10655365009449838,,,
112/01/03,3879155.0,125941683.0,32.55,33.05,32.0,32.85,0.3,1299.0,,0.7333333333333343,0.3575233225898611,0.1902102075929526,,,
112/01/04,1879038.0,61393300.0,32.9,33.05,32.5,32.6,-0.25,999.0,,0.6538461538461564,0.4562975996752928,0.27890600495373263,,,
112/01/05,1651449.0,53861453.0,32.65,32.9,32.35,32.35,-0.25,939.0,,0.4615384615384636,0.4580445536296831,0.3386188545123827,,,
112/01/06,1000014.0,32373182.0,32.4,32.55,32.2,32.4,0.05,630.0,,0.5,0.4720297024197887,0.3830891371481847,,,
112/01/09,2528718.0,81379969.0,32.25,32.45,31.9,32.4,0.0,1243.0,,0.5,0.4813531349465258,0.4158438030809651,,,
112/01/10,2085805.0,67982660.0,32.5,32.85,32.35,32.4,0.0,1022.0,,0.4347826086956527,0.4658296261962347,0.43250574411938825,,,
112/01/11,1164969.0,37774983.0,32.45,32.65,32.25,32.3,-0.1,688.0,,0.3478260869565209,0.4264951131163301,0.4305022004517022,,,
112/01/12,3023901.0,99187542.0,32.5,33.05,32.4,32.7,0.4,1423.0,,0.6956521739130479,0.5162141333819027,0.459072844761769,,,
112/01/13,1805066.0,58895781.0,32.9,32.9,32.45,32.45,-0.25,862.0,,0.4782608695652217,0.503563045443009,0.4739029116555157,,,
112/01/16,2073714.0,66080760.0,32.45,32.6,31.7,31.7,-0.75,1421.0,,0.0,0.335708696962006,0.4278381734243457,,,
112/01/17,1869088.0,58580882.0,31.55,31.7,31.15,31.35,-0.35,1343.0,,0.10526315789473842,0.2588935172729168,0.371523288040536,,,
112/01/30,3065885.0,95006382.0,31.8,31.8,30.7,30.7,-0.65,1993.0,,0.0,0.1725956781819445,0.3052140847543389,,,
112/01/31,3362601.0,104012332.0,30.7,31.2,30.6,31.15,0.45,1650.0,,0.2244897959183665,0.1898937174274185,0.2667739623120321,,,
112/02/01,1624276.0,50505235.0,31.25,31.25,30.95,31.15,0.0,1001.0,False,0.2244897959183665,0.20142574359106785,0.2449912227383773,,,
112/02/02,1959155.0,60571521.0,31.15,31.15,30.85,30.85,-0.3,1271.0,,0.1020408163265308,0.16829743450288884,0.1903829738950082,,,
112/02/03,2696986.0,83779601.0,30.9,31.25,30.85,30.95,0.1,1518.0,,0.14285714285714224,0.15981733728763994,0.16547073543113922,,,
112/02/06,1085820.0,33578926.0,30.95,31.05,30.85,30.85,-0.1,835.0,,0.125,0.14651301947083498,0.1536840259611133,,,
112/02/07,1815041.0,55695600.0,30.95,31.0,30.5,30.6,-0.25,1479.0,,0.04761904761904826,0.11354836218690605,0.13552480037619194,,,
112/02/08,2156247.0,65357513.0,30.65,30.65,30.15,30.2,-0.4,1610.0,,0.03030303030303069,0.08579991822561428,0.10429888086647546,,,
112/02/09,1647090.0,49952958.0,30.05,30.5,30.0,30.45,0.25,992.0,,0.2499999999999995,0.140533278817076,0.10404437175610153,,,
112/02/11,1850836.0,55729373.0,30.4,30.4,30.0,30.0,-0.45,1294.0,,0.0,0.09368885254471733,0.1249184700596231,,,
112/02/13,1783790.0,53653269.0,29.85,30.25,29.85,30.25,0.25,1625.0,,0.285714285714285,0.15769733026790653,0.1150250117857804,,,
112/02/14,1598239.0,47863121.0,30.25,30.25,29.75,29.95,-0.3,1355.0,,0.13333333333333286,0.14957599795638196,0.15499021949739833,,,
112/02/15,2125486.0,63804723.0,30.0,30.2,29.85,29.85,-0.1,1430.0,,0.06666666666666761,0.12193955419314385,0.14036385003530258,,,
112/02/17,6342894.0,193152177.0,29.85,30.95,29.8,30.7,0.85,2670.0,,0.7307692307692298,0.3248827797185059,0.1895872960349312,,,
112/02/20,3963851.0,119782564.0,30.7,30.75,30.0,30.25,-0.45,2327.0,,0.4,0.3499218531456706,0.3332291375275608,,,
112/02/21,1473533.0,44551781.0,30.25,30.35,30.1,30.3,0.05,989.0,,0.4583333333333342,0.3860590132082251,0.3619675731665221,,,
112/02/22,2056259.0,62387451.0,30.15,30.5,30.1,30.45,0.15,1042.0,,0.583333333333333,0.4518171199165944,0.4079783821110148,,,
112/02/24,2221050.0,67175276.0,30.5,30.6,30.1,30.1,-0.5,1272.0,,0.291666666666668,0.39843363549995225,0.4340226251110471,,,
112/03/01,2567742.0,77725093.0,30.35,30.6,30.05,30.05,-0.05,1489.0,,0.2500000000000007,0.3489557569999684,0.3819410093332909,,,
