日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,7711279.0,1139528501.0,147.5,150.5,145.5,148.5,+5.00,5091.0,False,,,,,,
111/03/02,25658275.0,3975166884.0,148.5,162.0,148.5,160.0,+11.50,15841.0,False,,,,,,
111/03/03,87513516.0,14997138795.0,165.0,176.0,164.0,171.5,+11.50,46531.0,False,,,,,,
111/03/04,50627549.0,8742322506.0,172.0,175.5,169.0,169.0,-2.50,36166.0,False,,,,,,
111/03/07,30422764.0,4924213887.0,166.5,167.0,156.5,162.0,-7.00,25363.0,False,,,,,,
111/03/08,37151008.0,5959602108.0,161.5,165.0,156.0,157.0,-5.00,30693.0,False,,,,,,
111/03/09,23060456.0,3644905246.0,162.0,162.0,153.0,153.5,-3.50,20478.0,False,,,,,,
111/03/10,19630771.0,3118020928.0,160.0,162.0,155.5,158.5,+5.00,18614.0,False,,,,,,
111/03/11,9959229.0,1567996429.0,157.5,160.0,155.0,157.5,-1.00,12735.0,False,0.3934426229508197,0.4644808743169399,0.4881602914389799,,,
111/03/14,15228798.0,2457379950.0,159.0,164.0,158.0,164.0,+6.50,12668.0,False,0.5636363636363636,0.4975327040900811,0.4912844289893469,,,
111/03/15,18604500.0,2933336091.0,162.5,162.5,153.5,153.5,-10.50,13377.0,False,0.021739130434782608,0.33893484620498154,0.44050123472789177,,,
111/03/16,17622377.0,2783379919.0,158.5,161.0,156.0,158.5,+5.00,12613.0,False,0.24444444444444444,0.3074380456181358,0.3961468383579729,,,
111/03/17,47152807.0,8101087139.0,166.0,174.0,166.0,174.0,+15.50,26649.0,False,1.0,0.5382920304120905,0.4435285690426788,,,
111/03/18,80364049.0,14256112127.0,175.0,181.0,172.5,176.5,+2.50,55633.0,False,0.8392857142857143,0.6386232583699651,0.5085601321517742,,,
111/03/21,31226954.0,5500126707.0,180.5,182.0,172.5,173.5,-3.00,30264.0,False,0.7068965517241379,0.661381022821356,0.5595004290416348,,,
111/03/22,26020411.0,4500461242.0,172.0,178.0,168.5,178.0,+4.50,19319.0,False,0.8596491228070176,0.7274703894832432,0.6154904158555041,,,
111/03/23,30394176.0,5416336051.0,178.5,181.0,175.0,178.0, 0.00,25304.0,False,0.8596491228070176,0.7715299672578346,0.6675035996562809,,,
111/03/24,36944961.0,6449468132.0,176.0,181.0,170.5,171.5,-6.50,37722.0,False,0.631578947368421,0.7248796272946967,0.6866289422024194,,,
111/03/25,30442565.0,5028319587.0,169.5,169.5,162.5,163.0,-8.50,30296.0,False,0.3333333333333333,0.5943641959742423,0.655874026793027,,,
111/03/28,14865964.0,2398382418.0,158.0,166.0,157.5,165.5,+2.50,13897.0,False,0.36538461538461536,0.5180376691110333,0.6099285742323624,,,
111/03/29,13406817.0,2213434069.0,165.5,167.0,163.0,165.0,-0.50,15751.0,False,0.30612244897959184,0.4473992624005528,0.5557521369550925,,,
111/03/30,12468835.0,2084566167.0,168.0,170.0,165.0,165.0, 0.00,9912.0,False,0.30612244897959184,0.4003069912602325,0.5039370883901391,,,
111/03/31,7658618.0,1244618176.0,165.5,166.5,161.0,161.0,-4.00,8317.0,False,0.14285714285714285,0.31449037512586925,0.4407881839687158,,,
111/04/01,8779132.0,1394149861.0,156.5,161.0,156.5,159.0,-2.00,10880.0,False,0.1020408163265306,0.2436738555260897,0.3750834078211737,,,
111/04/06,6519105.0,1029323305.0,157.0,161.5,155.0,160.5,+1.50,7234.0,False,0.21153846153846154,0.2329620575302136,0.3277096243908537,,,
111/04/07,14213826.0,2192408109.0,159.0,161.5,149.0,149.0,-11.50,15147.0,False,0.0,0.15530803835347573,0.270242429045061,,,
111/04/08,10302495.0,1550155522.0,152.0,153.0,148.5,150.5,+1.50,13179.0,False,0.09302325581395347,0.13454644417363498,0.22501043408791896,,,
111/04/11,22718247.0,3169344306.0,148.5,149.0,135.5,135.5,-15.00,20357.0,False,0.0,0.08969762944908999,0.17990616587497596,,,
111/04/12,14019335.0,1883781804.0,135.5,138.0,131.5,133.0,-2.50,9140.0,False,0.03896103896103896,0.07278543261973965,0.14419925478989715,,,
111/04/13,12101730.0,1616167411.0,137.0,137.0,131.5,133.0, 0.00,7598.0,False,0.03896103896103896,0.06151063473350608,0.1166363814377668,,,
111/04/14,8156724.0,1100811936.0,135.5,137.5,133.0,133.5,+0.50,6602.0,False,0.057142857142857134,0.060054708869956425,0.09777582391516336,,,
111/04/15,7782831.0,1038930842.0,132.0,136.0,131.5,132.0,-1.50,4998.0,False,0.016666666666666666,0.045592028135526506,0.08038122532195106,,,
111/04/18,8867281.0,1155431579.0,128.5,134.0,127.0,129.0,-3.00,6430.0,False,0.05797101449275361,0.04971835692126887,0.07016026918839033,,,
111/04/19,18496250.0,2326011237.0,132.0,132.0,122.5,122.5,-6.50,13183.0,False,0.0,0.03314557128084592,0.057822036552542186,,,
111/04/20,16344017.0,2023998868.0,124.5,126.0,122.0,124.5,+2.00,10430.0,False,0.08064516129032258,0.048978767950671465,0.0548742803519186,,,
111/04/21,18633567.0,2415219237.0,126.5,133.5,124.5,133.0,+8.50,12059.0,False,0.4074074074074074,0.16845498110291676,0.09273451393558466,,,
111/04/22,11021160.0,1424851772.0,128.5,130.5,128.0,130.5,-2.50,7463.0,False,0.53125,0.28938665406861114,0.15828522731326014,,,
111/04/25,14375843.0,1769845390.0,125.5,127.0,120.0,121.5,-9.00,12061.0,False,0.08571428571428573,0.22149586461716933,0.17935543974789653,,,
111/04/26,8418237.0,1033777908.0,124.5,125.0,121.0,122.0,+0.50,5573.0,False,0.11428571428571427,0.18575914784001765,0.1814900091119369,,,
111/04/27,15290313.0,1803859649.0,114.5,122.5,114.0,121.0,-1.00,10152.0,False,0.3181818181818182,0.22990003795395114,0.1976266853926083,,,
111/04/28,15320430.0,1883948307.0,121.0,126.5,117.5,124.5,+3.50,9849.0,False,0.525,0.32826669196930075,0.2411733542515057,,,
111/04/29,16499266.0,2109533054.0,129.5,131.5,125.0,125.0,+0.50,11233.0,False,0.5641025641025641,0.4068786493470552,0.2964084526166889,,,
111/05/03,11250898.0,1370606252.0,122.5,124.5,120.0,121.0,-4.00,7332.0,False,0.35897435897435903,0.3909105525561565,0.32790915259651143,,,
111/05/04,8827499.0,1081898421.0,121.5,125.0,120.5,121.5,+0.50,6342.0,False,0.38461538461538464,0.3888121632425657,0.34821015614519624,,,
111/05/05,14375482.0,1809281484.0,126.0,127.5,124.0,126.5,+5.00,8888.0,False,0.7142857142857143,0.4973033469236153,0.3979078864046692,,,
111/05/06,7775064.0,956719480.0,122.5,125.0,121.5,123.5,-3.00,4906.0,False,0.5428571428571428,0.5124879455681244,0.43610123945915424,,,
111/05/09,10600441.0,1253965034.0,122.0,122.0,116.0,116.0,-7.50,7630.0,False,0.11428571428571427,0.3797538684739876,0.4173187824640987,,,
111/05/10,11230635.0,1314696118.0,111.0,120.5,111.0,120.0,+4.00,9379.0,False,0.4390243902439024,0.3995107090639593,0.4113827579973856,,,
111/05/11,7766883.0,913413471.0,118.5,120.5,116.0,117.0,-3.00,5016.0,False,0.2926829268292683,0.36390144831906224,0.39555565477127774,,,
