日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,20237946.0,786791433.0,38.75,39.3,38.4,38.85,+0.75,9700.0,False,,,,,,
111/03/02,23643350.0,935964190.0,39.05,40.0,39.0,39.55,+0.70,13083.0,False,,,,,,
111/03/03,47087360.0,1905949152.0,39.25,41.3,39.25,39.9,+0.35,25445.0,False,,,,,,
111/03/04,18717666.0,745497212.0,40.05,40.4,39.4,39.65,-0.25,10076.0,False,,,,,,
111/03/07,16944799.0,650351413.0,39.7,39.95,37.65,38.0,-1.65,8909.0,False,,,,,,
111/03/08,21033508.0,805771841.0,37.6,38.95,37.35,38.55,+0.55,9198.0,False,,,,,,
111/03/09,62476218.0,2529904703.0,39.1,41.45,38.65,41.0,+2.45,29916.0,False,,,,,,
111/03/10,58252726.0,2362148186.0,41.1,41.7,39.8,39.95,-1.05,29240.0,False,,,,,,
111/03/11,17864812.0,719194678.0,40.1,40.7,39.7,40.7,+0.75,8977.0,False,0.7701149425287357,0.5900383141762452,0.5300127713920817,,,
111/03/14,15985368.0,648582748.0,40.6,40.95,40.1,40.9,+0.20,8191.0,False,0.8160919540229876,0.6653895274584927,0.575138356747552,,,
111/03/15,46345462.0,1894164325.0,41.1,41.75,39.15,39.15,-1.75,24362.0,False,0.40909090909090856,0.579956654669298,0.5767444560548006,,,
111/03/16,51899420.0,2126604743.0,40.1,41.75,39.6,40.6,+1.45,25026.0,False,0.7386363636363639,0.6328498909916533,0.5954462677004182,,,
111/03/17,43888271.0,1799708613.0,41.3,41.65,40.4,41.5,+0.90,21774.0,False,0.943181818181818,0.7362938667217083,0.6423954673741815,,,
111/03/18,18860159.0,777304850.0,41.3,41.65,40.7,41.45,-0.05,8705.0,False,0.9318181818181824,0.801468638420533,0.6954198577229653,,,
111/03/21,34865611.0,1454401397.0,41.7,42.4,40.9,40.95,-0.50,16632.0,False,0.6133333333333345,0.7387568700581335,0.7098655285013546,,,
111/03/22,19756995.0,814114543.0,41.05,41.95,40.75,40.8,-0.15,11020.0,False,0.5076923076923072,0.6617353492695247,0.693822135424078,,,
111/03/23,17973198.0,725556204.0,41.0,41.1,40.0,40.15,-0.65,9422.0,False,0.3076923076923077,0.5437210020771189,0.6437884243084251,,,
111/03/24,14159973.0,572807421.0,40.4,40.9,40.1,40.2,+0.05,7354.0,False,0.3230769230769244,0.4701729757437208,0.5859166081201902,,,
111/03/25,23409332.0,915859260.0,40.3,40.4,38.45,38.55,-1.65,13132.0,False,0.02531645569620112,0.3218874690612142,0.4979068951005315,,,
111/03/28,9164769.0,353488368.0,38.05,39.1,37.9,39.1,+0.55,5472.0,False,0.2666666666666673,0.3034805349296985,0.4330981083769205,,,
111/03/29,7377414.0,288019882.0,38.9,39.4,38.8,39.4,+0.30,3899.0,False,0.3333333333333333,0.3134314677309101,0.3932092281615837,,,
111/03/30,28084774.0,1137776524.0,40.3,41.0,39.9,40.15,+0.75,13242.0,False,0.5,0.3756209784872734,0.3873464782701469,,,
111/03/31,31132489.0,1274375743.0,40.5,41.45,40.35,40.45,+0.30,15228.0,False,0.5666666666666677,0.43930287454707145,0.40466527702912175,,,
111/04/01,18256967.0,745996515.0,40.3,41.25,40.2,41.05,+0.60,8611.0,False,0.7777777777777766,0.5521278422906398,0.4538194654496278,,,
111/04/06,56939742.0,2393171976.0,41.6,42.5,41.45,42.15,+1.10,26518.0,False,0.9239130434782604,0.6760562426865133,0.5278983911952563,,,
111/04/07,30692795.0,1281114560.0,42.25,42.45,40.75,40.9,-1.25,15878.0,False,0.652173913043478,0.6680954661388349,0.5746307495097824,,,
111/04/08,84796707.0,3660637296.0,41.7,44.6,41.65,43.8,+2.90,39605.0,False,0.8805970149253726,0.7389293157343474,0.6293969382513039,,,
111/04/11,199309272.0,9045992463.0,45.45,47.85,43.35,44.5,+0.70,86567.0,False,0.6633165829145728,0.7137250714610892,0.6575063159878991,,,
111/04/12,104592479.0,4723635158.0,44.9,46.05,43.7,45.6,+1.10,49549.0,False,0.7513812154696133,0.7262771194639306,0.6804299171465762,,,
111/04/13,87533788.0,3928794626.0,45.7,45.95,43.9,44.9,-0.70,45816.0,False,0.6289308176100626,0.6938283521793079,0.6848960621574868,,,
111/04/14,57035494.0,2525062857.0,44.95,45.2,43.3,44.2,-0.70,28812.0,False,0.5228758169934642,0.6368441737840267,0.668878766033,,,
111/04/15,80649362.0,3653673526.0,44.2,46.15,44.2,45.05,+0.85,37838.0,False,0.6339869281045746,0.6358917585575425,0.6578830968745142,,,
111/04/18,116825522.0,5455329894.0,45.6,47.8,45.3,47.2,+2.15,57813.0,False,0.9084507042253523,0.7267447404468124,0.6808369780652802,,,
111/04/19,99236693.0,4717122799.0,47.45,48.8,46.05,47.4,+0.20,51888.0,False,0.8260869565217392,0.7598588124717879,0.7071775895341161,,,
111/04/20,73122808.0,3530033107.0,47.9,48.9,47.55,48.6,+1.20,35167.0,False,0.9586206896551728,0.8261127715329162,0.7468226502003827,,,
111/04/21,123748786.0,6048528587.0,48.85,50.4,47.3,48.05,-0.55,59352.0,False,0.6690140845070421,0.7737465425242915,0.7557972809750191,,,
111/04/22,65403547.0,3131274766.0,47.2,48.8,47.1,47.8,-0.25,26947.0,False,0.6338028169014083,0.7270986339833304,0.7462310653111227,,,
111/04/25,70748552.0,3349964243.0,47.55,48.5,45.6,46.5,-1.30,35435.0,False,0.450704225352113,0.6349671644395912,0.7091430983539455,,,
111/04/26,80681988.0,3859593535.0,47.1,48.6,46.7,48.25,+1.75,38201.0,False,0.6971830985915496,0.6557058091569106,0.6913306686216005,,,
111/04/27,59200012.0,2735184213.0,46.8,47.3,45.5,45.6,-2.65,29938.0,False,0.2258064516129032,0.5124060233089079,0.6316891201840363,,,
111/04/28,52325382.0,2354354873.0,45.7,46.0,44.0,44.45,-1.15,26103.0,False,0.07031250000000046,0.36504151553927217,0.5428065853024483,,,
111/04/29,31728240.0,1425166201.0,45.1,45.6,44.15,44.15,-0.30,14962.0,False,0.02343749999999978,0.2511735103595147,0.4455955603214704,,,
111/05/03,39306249.0,1692705321.0,43.9,43.95,42.3,43.1,-1.05,18776.0,False,0.09876543209876594,0.20037081760593176,0.3638539794162908,,,
111/05/04,23653031.0,1019308828.0,43.8,43.85,42.5,42.6,-0.50,12581.0,False,0.03703703703703756,0.14592622408296702,0.2912113943051829,,,
111/05/05,23054678.0,993897313.0,43.3,43.75,42.6,42.6, 0.00,11886.0,False,0.046153846153846816,0.11266876477326028,0.2316971844612087,,,
111/05/06,23276963.0,960792121.0,41.5,41.75,40.75,41.35,-1.25,12143.0,False,0.07643312101910844,0.10059021685520966,0.18799486192587567,,,
111/05/09,35393832.0,1404396414.0,41.05,41.05,38.7,38.9,-2.45,17079.0,False,0.020202020202019774,0.07379415130414636,0.1499279583852992,,,
111/05/10,36863453.0,1416035191.0,38.45,39.3,37.85,38.35,-0.55,17714.0,False,0.052910052910052935,0.06683278517278188,0.1222295673144601,,,
111/05/11,33109106.0,1258103189.0,38.55,39.1,37.0,37.0,-1.35,16140.0,False,0.0,0.044555190115187916,0.09633810824803604,,,
111/05/12,38456732.0,1396799083.0,36.3,37.45,35.15,35.15,-1.85,16968.0,False,0.0,0.029703460076791945,0.07412655885762133,,,
111/05/13,32294360.0,1164017479.0,36.0,36.75,35.3,36.65,+1.50,14564.0,False,0.17045454545454536,0.07662048853604307,0.07495786875042858,,,
111/05/16,37606790.0,1344637718.0,36.3,36.8,35.0,35.0,-1.65,17543.0,False,0.0,0.05108032569069538,0.06699868773051751,,,
111/05/17,51323073.0,1885210864.0,36.0,37.15,35.85,36.95,+1.95,24297.0,False,0.2228571428571432,0.10833926474617796,0.080778880069071,,,
111/05/18,28228194.0,1049894766.0,37.45,37.6,36.85,37.25,+0.30,13562.0,False,0.3333333333333333,0.18333728760856308,0.11496501591556835,,,
111/05/19,19534317.0,705574663.0,36.15,36.55,35.6,36.55,-0.70,9477.0,False,0.2561983471074377,0.20762430744152127,0.14585144642421932,,,
111/05/20,24801255.0,918493002.0,36.6,37.45,36.5,36.9,+0.35,12571.0,False,0.44186046511627897,0.2857030266664405,0.19246863983829304,,,
111/05/23,15245497.0,569877317.0,37.5,37.8,37.05,37.5,+0.60,7391.0,False,0.6097560975609754,0.3937207169646188,0.25955266554706824,,,
