日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,537538.0,241791567.0,442.0,454.0,442.0,454.0,+15.50,593.0,False,,,,,,
111/03/02,681369.0,310299040.0,448.5,466.5,444.5,465.5,+11.50,795.0,False,,,,,,
111/03/03,1019322.0,476388486.0,473.5,477.0,457.0,457.5,-8.00,1072.0,False,,,,,,
111/03/04,746071.0,334629067.0,451.0,456.0,444.0,445.5,-12.00,1029.0,False,,,,,,
111/03/07,1164008.0,489589753.0,435.0,439.5,410.0,416.0,-29.50,1630.0,False,,,,,,
111/03/08,1449178.0,589753352.0,405.5,419.0,400.0,401.5,-14.50,1654.0,False,,,,,,
111/03/09,690789.0,285153242.0,416.5,421.0,407.0,409.0,+7.50,798.0,False,,,,,,
111/03/10,647661.0,273807403.0,421.0,429.0,419.0,425.0,+16.00,776.0,False,,,,,,
111/03/11,346106.0,144802323.0,425.0,425.0,415.0,418.5,-6.50,407.0,False,0.24025974025974026,0.4134199134199134,0.4711399711399711,,,
111/03/14,392460.0,163983083.0,424.0,426.0,413.0,418.0,-0.50,465.0,False,0.23376623376623376,0.3535353535353535,0.43193843193843184,,,
111/03/15,1032074.0,412685822.0,416.5,416.5,394.0,395.5,-22.50,1392.0,False,0.018072289156626502,0.2417143320757778,0.3685303986508805,,,
111/03/16,885703.0,356832973.0,408.0,410.0,395.5,410.0,+14.50,906.0,False,0.25806451612903225,0.24716439342686256,0.3280750635762078,,,
111/03/17,999406.0,423212990.0,424.5,428.5,418.5,426.0,+16.00,1061.0,False,0.7032967032967034,0.3992084967168095,0.3517862079564084,,,
111/03/18,1372665.0,592864448.0,422.5,436.5,420.0,436.5,+10.50,778.0,False,1.0,0.5994723311445396,0.4343482490191187,,,
111/03/21,434886.0,190590658.0,442.0,443.0,434.0,436.0,-0.50,502.0,False,0.8571428571428571,0.6853625064773121,0.5180196681718499,,,
111/03/22,434794.0,190193313.0,431.5,442.0,428.5,442.0,+6.00,472.0,False,0.979591836734694,0.7834389498964394,0.6064927620800463,,,
111/03/23,824587.0,365677474.0,449.0,452.0,436.0,436.5,-5.50,903.0,False,0.7327586206896551,0.7665455068275112,0.6598436769958679,,,
111/03/24,448789.0,194430830.0,432.0,442.0,428.0,442.0,+5.50,551.0,False,0.8275862068965517,0.7868924068505246,0.7021932536140867,,,
111/03/25,377609.0,164987538.0,445.0,446.0,432.5,432.5,-9.50,503.0,False,0.6637931034482759,0.7458593057164417,0.7167486043148716,,,
111/03/28,388650.0,165783378.0,430.0,434.0,420.0,432.0,-0.50,442.0,False,0.6460176991150443,0.7125787701826425,0.7153586596041286,,,
111/03/29,303732.0,130815758.0,438.0,438.0,425.5,428.0,-4.00,393.0,False,0.2835820895522388,0.5695798766391745,0.6667657319491439,,,
