證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0050,元大台灣50,26759613.0,3216484995.0,118.65,120.7,118.65,120.55,1.95,19879.0
0051,元大中型100,88575.0,5173114.0,58.35,58.6,58.2,58.45,0.4,189.0
0052,富邦科技,309670.0,31843921.0,101.95,103.45,101.95,103.3,1.75,670.0
0053,元大電子,3877.0,230919.0,59.4,60.0,59.4,60.0,0.9,842.0
0055,元大MSCI金融,304929.0,6987517.0,22.74,23.05,22.74,22.96,0.24,439.0
0056,元大高股息,25797921.0,741919229.0,28.65,28.83,28.62,28.76,0.11,9888.0
0057,富邦摩台,1941.0,167331.0,86.55,86.55,86.55,86.55,0.45,921.0
0061,元大寶滬深,145685.0,2740495.0,18.87,18.94,18.72,18.82,-0.18,538.0
006203,元大MSCI台灣,2731.0,157718.0,57.5,58.25,57.5,58.25,0.9,424.0
006204,永豐臺灣加權,28303.0,2272556.0,79.95,80.45,79.85,80.45,1.25,822.0
006205,富邦上証,3116002.0,98800891.0,32.03,32.03,31.53,31.56,-0.47,798.0
006206,元大上證50,71668.0,2152416.0,30.3,30.3,29.96,29.96,-0.4,577.0
006207,復華滬深,107327.0,2660274.0,24.86,24.86,24.68,24.68,-0.24,380.0
006208,富邦台50,4804288.0,333480212.0,68.7,69.85,68.7,69.65,1.05,4944.0
00625K,富邦上証+R,,,,,,,0.0,
00631L,元大台灣50正2,5530601.0,646800149.0,115.0,118.4,115.0,118.2,3.5,3670.0
00632R,元大台灣50反1,370762515.0,1930388507.0,5.26,5.26,5.17,5.18,-0.09,18300.0
00633L,富邦上証正2,5013877.0,191725647.0,38.58,38.65,37.99,37.99,-0.69,1798.0
00634R,富邦上証反1,243000.0,1087220.0,4.46,4.49,4.46,4.48,0.05,30.0
00635U,期元大S&P黃金,705448.0,17713407.0,25.12,25.13,25.09,25.09,-0.33,390.0
00636,國泰中國A50,984029.0,20999312.0,21.49,21.49,21.26,21.26,-0.3,997.0
00636K,國泰中國A50+U,200.0,1384.0,6.92,6.92,6.92,6.92,-0.06,2.0
00637L,元大滬深300正2,44358796.0,669804662.0,15.2,15.25,14.98,14.98,-0.26,7268.0
00638R,元大滬深300反1,182000.0,1718570.0,9.4,9.48,9.4,9.48,0.09,27.0
00639,富邦深100,2110903.0,26192503.0,12.48,12.48,12.36,12.37,-0.18,798.0
00640L,富邦日本正2,446313.0,15441027.0,34.49,34.67,34.49,34.64,0.35,131.0
00641R,富邦日本反1,989100.0,8567017.0,8.68,8.68,8.65,8.67,-0.04,216.0
00642U,期元大S&P石油,3880856.0,58117934.0,14.95,15.05,14.92,14.99,-0.12,1146.0
00643,群益深証中小,239879.0,3451036.0,14.45,14.45,14.28,14.28,-0.23,88.0
00643K,群益深証中小+R,,,,,,,0.0,
00645,富邦日本,121736.0,3506472.0,28.78,28.83,28.78,28.81,0.16,758.0
00646,元大S&P500,1231966.0,48466080.0,39.28,39.41,39.27,39.36,-0.01,585.0
00647L,元大S&P500正2,78483.0,4354715.0,55.5,55.55,55.35,55.45,-0.25,54.0
00648R,元大S&P500反1,3017200.0,21408480.0,7.1,7.1,7.09,7.09,0.02,111.0
00650L,復華香港正2,6924399.0,91160408.0,13.22,13.3,13.04,13.04,-0.27,1318.0
00651R,復華香港反1,982990.0,8230150.0,8.35,8.42,8.32,8.42,0.1,50.0
00652,富邦印度,277252.0,8324762.0,30.1,30.1,30.0,30.01,-0.17,709.0
00653L,富邦印度正2,365953.0,16097980.0,44.16,44.16,43.82,43.82,-0.71,192.0
00654R,富邦印度反1,176000.0,1391770.0,7.86,7.92,7.86,7.92,0.07,45.0
00655L,國泰中國A50正2,2217065.0,59660125.0,27.07,27.2,26.72,26.72,-0.51,796.0
00656R,國泰中國A50反1,167000.0,1408760.0,8.43,8.45,8.4,8.45,0.08,15.0
00657,國泰日經225,126755.0,4559039.0,35.9,36.03,35.88,35.98,0.29,764.0
00657K,國泰日經225+U,200.0,2334.0,11.67,11.67,11.67,11.67,0.1,2.0
00660,元大歐洲50,2813.0,88493.0,31.64,31.65,31.64,31.65,-0.04,815.0
00661,元大日經225,9310.0,356954.0,38.25,38.56,38.25,38.56,0.38,624.0
