,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,1028.0,8222,寶一,5440,5414,1935.0,1780.0,,,,,,,,,,,False
2022-12-12,,8222,寶一,5465,5328,1735.0,1644.0,287.0,424.0,,17143.0,111.0,20.0,,17143.0,145.0, ,False
2022-12-13,,8222,寶一,5455,5448,1487.0,1415.0,265.0,272.0,,17143.0,80.0,8.0,,17143.0,50.0, ,False
2022-12-14,,8222,寶一,5448,5205,1415.0,1380.0,308.0,551.0,,17143.0,39.0,4.0,,17143.0,69.0, ,False
2022-12-15,,8222,寶一,5205,5334,1380.0,1460.0,1733.0,1604.0,,17143.0,67.0,147.0,,17143.0,822.0, ,False
2022-12-18,,8222,寶一,5334,5282,1460.0,1388.0,997.0,1049.0,,17143.0,77.0,45.0,40.0,17143.0,494.0, ,False
2022-12-19,,8222,寶一,5282,5210,1388.0,1311.0,1326.0,1391.0,7.0,17143.0,461.0,400.0,16.0,17143.0,5.0, ,False
2022-12-20,,8222,寶一,5210,4860,1311.0,751.0,704.0,1054.0,,17143.0,630.0,74.0,4.0,17143.0,16.0, ,False
2022-12-21,,8222,寶一,4860,4776,751.0,674.0,348.0,427.0,5.0,17143.0,106.0,29.0,,17143.0,7.0, ,False
2022-12-23,,8222,寶一,4944,4912,711.0,589.0,355.0,387.0,,17143.0,133.0,61.0,50.0,17143.0,4.0, ,False
2022-12-26,,8222,寶一,4912,5227,589.0,549.0,568.0,253.0,,17143.0,69.0,29.0,,17143.0,13.0, ,False
2022-12-27,,8222,寶一,5227,5214,549.0,529.0,327.0,340.0,,17143.0,29.0,9.0,,17143.0,3.0, ,False
2022-12-28,,8222,寶一,5214,5290,529.0,502.0,296.0,220.0,,17143.0,71.0,44.0,,17143.0,6.0, ,False
2022-12-29,,8222,寶一,5290,5301,502.0,501.0,109.0,98.0,,17143.0,30.0,29.0,,17143.0,11.0, ,False
2022-12-30,,8222,寶一,5301,5180,501.0,526.0,591.0,712.0,,17143.0,43.0,68.0,,17143.0,48.0, ,False
2023-01-03,,8222,寶一,5180,5213,526.0,512.0,273.0,240.0,,17143.0,56.0,42.0,,17143.0,4.0, ,
2023-01-04,,8222,寶一,5213,5096,512.0,516.0,180.0,272.0,25.0,17143.0,9.0,13.0,,17143.0,5.0, ,
2023-01-05,,8222,寶一,5096,5480,516.0,542.0,788.0,404.0,,17143.0,18.0,44.0,,17143.0,10.0, ,
2023-01-06,,8222,寶一,5480,5713,542.0,556.0,472.0,231.0,8.0,17143.0,35.0,49.0,,17143.0,2.0, ,
2023-01-10,,8222,寶一,5661,5529,543.0,475.0,413.0,545.0,,17143.0,80.0,12.0,,17143.0,2.0, ,
2023-01-11,,8222,寶一,5529,5413,475.0,486.0,456.0,571.0,1.0,17143.0,17.0,28.0,,17143.0,12.0, ,
