證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0050,元大台灣50,25082491.0,3153789783.0,125.0,126.05,125.0,125.95,2.9,22847.0
0051,元大中型100,105025.0,6397183.0,60.45,61.05,60.45,60.7,0.4,212.0
0052,富邦科技,1175699.0,129679704.0,110.05,110.6,109.85,110.5,3.45,1409.0
0053,元大電子,20307.0,1290879.0,63.75,63.8,63.45,63.55,1.4,932.0
0055,元大MSCI金融,207854.0,4770989.0,22.99,23.01,22.85,22.95,0.02,492.0
0056,元大高股息,53075246.0,1596766731.0,29.91,30.25,29.91,30.13,0.35,21960.0
0057,富邦摩台,8824.0,802798.0,91.15,91.25,90.75,91.25,2.0,779.0
0061,元大寶滬深,124208.0,2239779.0,18.05,18.13,17.99,18.12,0.02,1148.0
006203,元大MSCI台灣,13130.0,794259.0,60.65,60.95,60.65,60.95,1.4,565.0
006204,永豐臺灣加權,29991.0,2505343.0,83.5,83.65,83.3,83.6,1.05,836.0
006205,富邦上証,1452451.0,43785581.0,30.23,30.33,30.02,30.33,0.12,485.0
006206,元大上證50,266697.0,7595719.0,28.62,29.2,28.35,28.62,0.0,836.0
006207,復華滬深,136939.0,3242356.0,23.69,23.78,23.55,23.78,0.09,696.0
006208,富邦台50,10263961.0,744478841.0,71.65,72.75,71.65,72.7,1.65,8994.0
00625K,富邦上証+R,,,,,,,0.0,
00631L,元大台灣50正2,3011624.0,381311386.0,126.15,127.15,125.6,127.0,3.75,2426.0
00632R,元大台灣50反1,270965400.0,1355306076.0,5.01,5.02,4.99,4.99,-0.07,16207.0
00633L,富邦上証正2,9950452.0,350227368.0,35.52,35.53,34.78,35.41,-0.02,2806.0
00634R,富邦上証反1,300000.0,1392560.0,4.62,4.67,4.62,4.62,-0.02,44.0
00635U,期元大S&P黃金,472514.0,11579941.0,24.48,24.56,24.45,24.53,-0.13,296.0
00636,國泰中國A50,962518.0,19527999.0,20.38,20.39,20.17,20.39,0.03,494.0
00636K,國泰中國A50+U,200.0,1320.0,6.6,6.6,6.6,6.6,-0.03,2.0
00637L,元大滬深300正2,96803775.0,1344980684.0,14.0,14.01,13.72,13.94,-0.03,11072.0
00638R,元大滬深300反1,2755000.0,26947360.0,9.79,9.86,9.74,9.74,-0.05,92.0
00639,富邦深100,882199.0,10461957.0,11.93,11.97,11.79,11.92,-0.01,1228.0
00640L,富邦日本正2,955867.0,33636802.0,35.22,35.4,35.09,35.16,0.17,139.0
00641R,富邦日本反1,830149.0,7116486.0,8.58,8.59,8.55,8.58,-0.01,121.0
00642U,期元大S&P石油,7576238.0,114939240.0,15.2,15.22,15.12,15.2,-0.44,2284.0
00643,群益深証中小,368841.0,5099129.0,13.86,13.92,13.76,13.85,-0.05,100.0
00643K,群益深証中小+R,,,,,,,0.0,
00645,富邦日本,672677.0,19599101.0,29.17,29.22,29.11,29.15,0.03,1093.0
00646,元大S&P500,1030231.0,40741403.0,39.55,39.63,39.5,39.56,0.04,734.0
00647L,元大S&P500正2,80970.0,4525987.0,55.9,56.0,55.75,55.95,0.25,61.0
00648R,元大S&P500反1,3561600.0,25129866.0,7.05,7.06,7.05,7.06,-0.01,1674.0
00650L,復華香港正2,4785411.0,55301562.0,11.65,11.65,11.47,11.58,-0.04,962.0
00651R,復華香港反1,713100.0,6352130.0,8.9,8.93,8.89,8.91,0.01,61.0
00652,富邦印度,145456.0,4356481.0,29.88,30.03,29.88,30.0,0.13,214.0
00653L,富邦印度正2,344926.0,15256413.0,44.01,44.4,44.01,44.39,0.53,116.0
00654R,富邦印度反1,98000.0,769260.0,7.87,7.87,7.84,7.84,-0.05,15.0
00655L,國泰中國A50正2,4804610.0,119076154.0,24.99,25.03,24.49,24.94,-0.01,1199.0
00656R,國泰中國A50反1,180114.0,1578314.0,8.73,8.8,8.73,8.73,-0.01,29.0
00657,國泰日經225,112497.0,4134429.0,36.81,36.81,36.75,36.78,0.11,481.0
00657K,國泰日經225+U,200.0,2392.0,11.96,11.96,11.96,11.96,0.03,2.0
00660,元大歐洲50,6279.0,194473.0,31.13,31.14,31.13,31.14,0.0,958.0
00661,元大日經225,164642.0,6518858.0,39.54,39.67,39.43,39.67,0.3,629.0
00662,富邦NASDAQ,1474044.0,81127772.0,55.05,55.2,54.85,55.05,0.35,825.0
00663L,國泰臺灣加權正2,25070.0,2937256.0,116.7,117.5,116.7,117.35,3.45,18.0
00664R,國泰臺灣加權反1,10754043.0,60639305.0,5.65,5.66,5.62,5.63,-0.08,967.0
00665L,富邦恒生國企正2,18323485.0,129088375.0,7.09,7.09,6.97,7.05,-0.04,2324.0
00666R,富邦恒生國企反1,88000.0,1381550.0,15.66,15.74,15.66,15.71,0.1,10.0
00668,國泰美國道瓊,286965.0,10486650.0,36.55,36.6,36.51,36.59,-0.03,733.0
00668K,國泰美國道瓊+U,200.0,2378.0,11.89,11.89,11.89,11.89,0.0,2.0
00669R,國泰美國道瓊反1,16191855.0,132490858.0,8.2,8.2,8.17,8.18,0.0,1786.0
00670L,富邦NASDAQ正2,1453351.0,108099747.0,74.5,74.55,74.0,74.45,1.25,727.0
00671R,富邦NASDAQ反1,13165530.0,68946357.0,5.23,5.25,5.22,5.24,-0.04,3303.0
00673R,期元大S&P原油反1,26437974.0,243625052.0,9.2,9.25,9.19,9.2,0.24,2264.0
00674R,期元大S&P黃金反1,2051437.0,25159073.0,12.3,12.3,12.23,12.25,0.05,303.0
00675L,富邦臺灣加權正2,1268567.0,64550126.0,50.8,51.2,50.55,51.05,1.4,665.0
